case,freq_hz,pin_dbm,pin_w,vrect_avg,vout_avg,vout_max,pce,deck,log,wave_csv,rawfile
post_f030mhz_pm20dbm,30000000.0,-20,1e-05,,0.0006404684,0.01637953,1.367332571328533e-06,results/postlayout/post_f030mhz_pm20dbm.spice,results/postlayout/post_f030mhz_pm20dbm.log,results/postlayout/post_f030mhz_pm20dbm_wave.csv,results/postlayout/post_f030mhz_pm20dbm.raw
post_f030mhz_pm15dbm,30000000.0,-15,3.1622776601683795e-05,,0.06389707,0.0913937,0.004303686554801667,results/postlayout/post_f030mhz_pm15dbm.spice,results/postlayout/post_f030mhz_pm15dbm.log,results/postlayout/post_f030mhz_pm15dbm_wave.csv,results/postlayout/post_f030mhz_pm15dbm.raw
post_f030mhz_pm10dbm,30000000.0,-10,0.0001,,0.25731,0.3043372,0.022069478699999995,results/postlayout/post_f030mhz_pm10dbm.spice,results/postlayout/post_f030mhz_pm10dbm.log,results/postlayout/post_f030mhz_pm10dbm_wave.csv,results/postlayout/post_f030mhz_pm10dbm.raw
post_f030mhz_pm05dbm,30000000.0,-5,0.00031622776601683794,,0.5941151,0.6732563,0.037206594948319155,results/postlayout/post_f030mhz_pm05dbm.spice,results/postlayout/post_f030mhz_pm05dbm.log,results/postlayout/post_f030mhz_pm05dbm_wave.csv,results/postlayout/post_f030mhz_pm05dbm.raw
post_f030mhz_pp00dbm,30000000.0,0,0.001,,1.1565,1.285069,0.04458307500000001,results/postlayout/post_f030mhz_pp00dbm.spice,results/postlayout/post_f030mhz_pp00dbm.log,results/postlayout/post_f030mhz_pp00dbm_wave.csv,results/postlayout/post_f030mhz_pp00dbm.raw
post_f045mhz_pm20dbm,45000000.0,-20,1e-05,,0.0006374108,0.01636987,1.354308426522133e-06,results/postlayout/post_f045mhz_pm20dbm.spice,results/postlayout/post_f045mhz_pm20dbm.log,results/postlayout/post_f045mhz_pm20dbm_wave.csv,results/postlayout/post_f045mhz_pm20dbm.raw
post_f045mhz_pm15dbm,45000000.0,-15,3.1622776601683795e-05,,0.06793162,0.09542886,0.004864326172187638,results/postlayout/post_f045mhz_pm15dbm.spice,results/postlayout/post_f045mhz_pm15dbm.log,results/postlayout/post_f045mhz_pm15dbm_wave.csv,results/postlayout/post_f045mhz_pm15dbm.raw
post_f045mhz_pm10dbm,45000000.0,-10,0.0001,,0.274265,0.3216236,0.02507376340833333,results/postlayout/post_f045mhz_pm10dbm.spice,results/postlayout/post_f045mhz_pm10dbm.log,results/postlayout/post_f045mhz_pm10dbm_wave.csv,results/postlayout/post_f045mhz_pm10dbm.raw
post_f045mhz_pm05dbm,45000000.0,-5,0.00031622776601683794,,0.6530607,0.7330793,0.04495581178259356,results/postlayout/post_f045mhz_pm05dbm.spice,results/postlayout/post_f045mhz_pm05dbm.log,results/postlayout/post_f045mhz_pm05dbm_wave.csv,results/postlayout/post_f045mhz_pm05dbm.raw
post_f045mhz_pp00dbm,45000000.0,0,0.001,,1.261618,1.390799,0.053055999264133326,results/postlayout/post_f045mhz_pp00dbm.spice,results/postlayout/post_f045mhz_pp00dbm.log,results/postlayout/post_f045mhz_pp00dbm_wave.csv,results/postlayout/post_f045mhz_pp00dbm.raw
post_f060mhz_pm20dbm,60000000.0,-20,1e-05,,0.0006332299,0.01635593,1.336600354180033e-06,results/postlayout/post_f060mhz_pm20dbm.spice,results/postlayout/post_f060mhz_pm20dbm.log,results/postlayout/post_f060mhz_pm20dbm_wave.csv,results/postlayout/post_f060mhz_pm20dbm.raw
post_f060mhz_pm15dbm,60000000.0,-15,3.1622776601683795e-05,,0.07031294,0.09777383,0.005211338221725872,results/postlayout/post_f060mhz_pm15dbm.spice,results/postlayout/post_f060mhz_pm15dbm.log,results/postlayout/post_f060mhz_pm15dbm_wave.csv,results/postlayout/post_f060mhz_pm15dbm.raw
post_f060mhz_pm10dbm,60000000.0,-10,0.0001,,0.2831686,0.3306286,0.02672815200865333,results/postlayout/post_f060mhz_pm10dbm.spice,results/postlayout/post_f060mhz_pm10dbm.log,results/postlayout/post_f060mhz_pm10dbm_wave.csv,results/postlayout/post_f060mhz_pm10dbm.raw
post_f060mhz_pm05dbm,60000000.0,-5,0.00031622776601683794,,0.6835082,0.7638315,0.04924546056911442,results/postlayout/post_f060mhz_pm05dbm.spice,results/postlayout/post_f060mhz_pm05dbm.log,results/postlayout/post_f060mhz_pm05dbm_wave.csv,results/postlayout/post_f060mhz_pm05dbm.raw
post_f060mhz_pp00dbm,60000000.0,0,0.001,,1.283538,1.411547,0.054915659914800005,results/postlayout/post_f060mhz_pp00dbm.spice,results/postlayout/post_f060mhz_pp00dbm.log,results/postlayout/post_f060mhz_pp00dbm_wave.csv,results/postlayout/post_f060mhz_pp00dbm.raw
