case,freq_hz,pin_dbm,pin_w,vrect_avg,vout_avg,vout_max,pce,deck,log,wave_csv,rawfile
f030mhz_pm20dbm,30000000.0,-20,1e-05,0.2452533,0.0006939786,0.01650847,1.6053543241932e-06,results/prelayout/f030mhz_pm20dbm.spice,results/prelayout/f030mhz_pm20dbm.log,results/prelayout/f030mhz_pm20dbm_wave.csv,results/prelayout/f030mhz_pm20dbm.raw
f030mhz_pm15dbm,30000000.0,-15,3.1622776601683795e-05,0.4005667,0.06625586,0.09401959,0.004627296583971122,results/prelayout/f030mhz_pm15dbm.spice,results/prelayout/f030mhz_pm15dbm.log,results/prelayout/f030mhz_pm15dbm_wave.csv,results/prelayout/f030mhz_pm15dbm.raw
f030mhz_pm10dbm,30000000.0,-10,0.0001,0.6207613,0.2653406,0.3131336,0.023468544669453327,results/prelayout/f030mhz_pm10dbm.spice,results/prelayout/f030mhz_pm10dbm.log,results/prelayout/f030mhz_pm10dbm_wave.csv,results/prelayout/f030mhz_pm10dbm.raw
f030mhz_pm05dbm,30000000.0,-5,0.00031622776601683794,1.048558,0.5874222,0.66775,0.03637302793903162,results/prelayout/f030mhz_pm05dbm.spice,results/prelayout/f030mhz_pm05dbm.log,results/prelayout/f030mhz_pm05dbm_wave.csv,results/prelayout/f030mhz_pm05dbm.raw
f030mhz_pp00dbm,30000000.0,0,0.001,1.836905,1.159598,1.289343,0.04482225072013333,results/prelayout/f030mhz_pp00dbm.spice,results/prelayout/f030mhz_pp00dbm.log,results/prelayout/f030mhz_pp00dbm_wave.csv,results/prelayout/f030mhz_pp00dbm.raw
f045mhz_pm20dbm,45000000.0,-20,1e-05,0.2452003,0.0006924462,0.01650495,1.5982724663147997e-06,results/prelayout/f045mhz_pm20dbm.spice,results/prelayout/f045mhz_pm20dbm.log,results/prelayout/f045mhz_pm20dbm_wave.csv,results/prelayout/f045mhz_pm20dbm.raw
f045mhz_pm15dbm,45000000.0,-15,3.1622776601683795e-05,0.4054402,0.07064428,0.09844755,0.0052605693670098415,results/prelayout/f045mhz_pm15dbm.spice,results/prelayout/f045mhz_pm15dbm.log,results/prelayout/f045mhz_pm15dbm_wave.csv,results/prelayout/f045mhz_pm15dbm.raw
f045mhz_pm10dbm,45000000.0,-10,0.0001,0.624216,0.2835107,0.3317177,0.026792772338163334,results/prelayout/f045mhz_pm10dbm.spice,results/prelayout/f045mhz_pm10dbm.log,results/prelayout/f045mhz_pm10dbm_wave.csv,results/prelayout/f045mhz_pm10dbm.raw
f045mhz_pm05dbm,45000000.0,-5,0.00031622776601683794,1.051877,0.6497458,0.7309763,0.04450058364948268,results/prelayout/f045mhz_pm05dbm.spice,results/prelayout/f045mhz_pm05dbm.log,results/prelayout/f045mhz_pm05dbm_wave.csv,results/prelayout/f045mhz_pm05dbm.raw
f045mhz_pp00dbm,45000000.0,0,0.001,1.840144,1.257786,1.387315,0.05273418739320001,results/prelayout/f045mhz_pp00dbm.spice,results/prelayout/f045mhz_pp00dbm.log,results/prelayout/f045mhz_pp00dbm_wave.csv,results/prelayout/f045mhz_pp00dbm.raw
f060mhz_pm20dbm,60000000.0,-20,1e-05,0.2451239,0.000690944,0.01650003,1.591345370453333e-06,results/prelayout/f060mhz_pm20dbm.spice,results/prelayout/f060mhz_pm20dbm.log,results/prelayout/f060mhz_pm20dbm_wave.csv,results/prelayout/f060mhz_pm20dbm.raw
f060mhz_pm15dbm,60000000.0,-15,3.1622776601683795e-05,0.4090874,0.0732931,0.1010953,0.005662457132584585,results/prelayout/f060mhz_pm15dbm.spice,results/prelayout/f060mhz_pm15dbm.log,results/prelayout/f060mhz_pm15dbm_wave.csv,results/prelayout/f060mhz_pm15dbm.raw
f060mhz_pm10dbm,60000000.0,-10,0.0001,0.6268752,0.2936544,0.3420403,0.028744302213119997,results/prelayout/f060mhz_pm10dbm.spice,results/prelayout/f060mhz_pm10dbm.log,results/prelayout/f060mhz_pm10dbm_wave.csv,results/prelayout/f060mhz_pm10dbm.raw
f060mhz_pm05dbm,60000000.0,-5,0.00031622776601683794,1.054067,0.6832289,0.7648171,0.049205222728644964,results/prelayout/f060mhz_pm05dbm.spice,results/prelayout/f060mhz_pm05dbm.log,results/prelayout/f060mhz_pm05dbm_wave.csv,results/prelayout/f060mhz_pm05dbm.raw
f060mhz_pp00dbm,60000000.0,0,0.001,1.842331,1.27969,1.408009,0.05458688320333333,results/prelayout/f060mhz_pp00dbm.spice,results/prelayout/f060mhz_pp00dbm.log,results/prelayout/f060mhz_pp00dbm_wave.csv,results/prelayout/f060mhz_pp00dbm.raw
